captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-26,th,Thailand,top_songs_weekly,,92,https://yt3.googleusercontent.com/Du16KZ-A4mSnV7AgfhD2B2O1EnrsqHja0jdot5jQJczzLeZMNHr-365Kwt5xSp0S3r0De0oOXUNAW4kl=w180-h180-l90-rj,,คืนที่หมาเต็มวัด (Temple Dogs) (feat. Singto Numchoke),NONT TANONT,,,คืนที่หมาเต็มวัด (Temple Dogs) (feat. Singto Numchoke) NONT TANONT
2026-09-26,th,Thailand,top_songs_weekly,,93,https://yt3.googleusercontent.com/-auVvVwE-gA2T7AcCG3z6f0jg62qvPaktn2t-ZDdDv7jOvARV0tCg3DNUEXzg0c0WZjhbJzEu2-WYSQ=w180-h180-l90-rj,,ณ ความรัก,สุดเขต จึงเจริญ,,,ณ ความรัก สุดเขต จึงเจริญ
2026-09-26,th,Thailand,top_songs_weekly,,94,https://yt3.googleusercontent.com/agakebigMhce2XZR-wrbcAziu_Rmnx9iOrmXHP2-65DslOWFDIeLL7A_LpzfRTcrESlRfLqT4H1m4ok=w180-h180-l90-rj,,ขาดความอบอุ่น,Sueayai,,,ขาดความอบอุ่น Sueayai
2026-09-26,th,Thailand,top_songs_weekly,,95,https://yt3.googleusercontent.com/6FAlXO6mWcCoB2k1XBxJ_08rTYq3LN8IfaWGPeStExlHCklz0y1pCzcNuba9CxwjmkP8aMlu7goeM7Q=w180-h180-l90-rj,,นักแสดงตบตา,MaxMillor / ize so cold. / PORZAX,,,"นักแสดงตบตา MaxMillor , ize so cold. & PORZAX"
2026-09-26,th,Thailand,top_songs_weekly,,96,https://i.ytimg.com/vi/WMP2N4U-VtM/default.jpg,https://www.youtube.com/watch?v=WMP2N4U-VtM,ติดลมบน,ทิดแอม,"9月 1, 2026",562815,"96 New ติดลมบน ทิดแอม 9月 1, 2026 - 1 562,815"
2026-09-26,th,Thailand,top_songs_weekly,,97,https://yt3.googleusercontent.com/NmUnyL5Fjn3EWN2ilg611ybD1NleUKmQhf7N58xzloqs7R28svfFGSnP7SZf8iYV6zY8Cu7wyl4I3ox_=w180-h180-l90-rj,,ความรักทำให้คนตาบอด,bodyslam,,,ความรักทำให้คนตาบอด bodyslam
2026-09-26,th,Thailand,top_songs_weekly,,98,https://yt3.googleusercontent.com/pPy2cA5K-sItr6lpGjUjJhmiumwBnB8dB4NSmiraU2w96TXY3_1rwLSSUNLEb9E0zWtgU3YYYhII8aOB=w180-h180-l90-rj,,ย้าย่ายะ,อูโน่ หลาวทอง,,,ย้าย่ายะ อูโน่ หลาวทอง
2026-09-26,th,Thailand,top_songs_weekly,,99,https://yt3.googleusercontent.com/U7uUUwB5NUeCNft0sN3TlScYwN-ChFTihvD7g6LspeVtNhnXW7-hKi57SzcfnxCfIcfQ52uThQfCs2Q=w180-h180-l90-rj,,ต่อจากคืนนี้ (ฉันจะไม่มีเธอแล้ว) (gloomy),Newery,,,ต่อจากคืนนี้ (ฉันจะไม่มีเธอแล้ว) (gloomy) Newery
2026-09-26,th,Thailand,top_songs_weekly,,100,https://yt3.googleusercontent.com/3jwSM0GEtmtwB-pdzrSapUkUE3u09dEYgKA7PzuWtYRP_vc8mpzE1-pZ40x4OZUWB3enR1zV5iYH2c4Y=w180-h180-l90-rj,,ดีแต่ปาก,Big Ass,,,ดีแต่ปาก Big Ass
2026-09-26,id,Indonesia,top_songs_weekly,,1,https://yt3.googleusercontent.com/xrGDyYO3umAVFdsdyIM2G451xiAxCD6haJkCQel6TQlqE-XsEUCGsj_Q5Er4YjFpjWqv-_Ze-VaPPL0j=w180-h180-l90-rj,,Teh Hijau,圖魯斯,"6月 29, 2026",15012788,"1 ● Teh Hijau 圖魯斯 6月 29, 2026 1 11 15,012,788"
2026-09-26,id,Indonesia,top_songs_weekly,,2,https://yt3.googleusercontent.com/WnS8_TSqLTP0D5Ltvu5mypx6ypsFj0dM0fSNvD8vz8K_f18nAU10bNsExXoI6t6mI-zR7ezxPYv3e7w=w180-h180-l90-rj,,Sesi Potret,Ari Lesmana / eńau,,,Sesi Potret Ari Lesmana & eńau
2026-09-26,id,Indonesia,top_songs_weekly,,3,https://yt3.googleusercontent.com/lri2NMO-Z9ihGrHPLowVk0CQTGYWOCV6GvsT8uf0UybSGR1kIFxUJfZu26yJw2PzpnRk-NyXDExNa5rc=w180-h180-l90-rj,,Dunia Yang Nanti,Raim Laode,,,Dunia Yang Nanti Raim Laode
